p5_1,p5_2
1422,120
6172,13
4976,20
6204,13
6209,13
40,67
3442,13
6221,13
4933,13
3166,13
6233,13
5255,145
3372,13
1712,13
6263,13
4181,20
3806,13
5247,20
553,120
6283,145
6285,145
6295,20
5035,13
6308,13
3693,145
3879,13
114,430
6310,741
296,13
3198,67
2699,13
4754,145
1789,430
2478,120
6328,145
6332,13
5403,145
6234,13
6344,145
4447,145
836,120
1278,120
5955,13
6363,13
6367,13
6368,13
2356,13
3335,145
6372,145
6373,13
4788,13
6386,145
2612,5385
5011,13
6404,13
6405,13
925,67
433,20
2004,67
6429,145
2474,145
6440,145
6447,13
636,13
6454,13
5387,145
2350,145
6463,13
6464,145
1687,145
6469,13
6473,20
6258,13
2793,430
1706,145
3506,13
1301,67
600,67
1049,67
5217,145
1725,145
4510,20
334,120
6509,13
4567,145
6528,145
5650,145
4682,13
3177,430
1332,145
5431,145
6381,13
6557,13
2467,13
4067,13
6575,13
6576,13
6579,13
4750,13
6580,13
6591,13
3289,13
6601,13
6626,13
1158,67
1185,67
4144,13
6639,145
1487,13
6643,741
2736,13
1629,120
6651,13
1095,20
6653,13
4764,13
464,145
1995,145
5901,13
476,13
1282,67
6680,13
1740,13
6688,145
6694,13
6702,13
6705,145
2413,120
6546,145
6712,145
6720,145
514,13
4465,13
6727,145
1647,120
2454,13
6743,13
6744,145
6753,13
6755,145
3521,13
1646,5385
6765,145
6766,13
4488,13
506,67
6777,13
1090,13
6782,13
6786,13
6795,145
6801,145
6805,145
6811,13
2216,13
5067,145
6820,13
4259,145
6832,13
6837,13
2399,145
4041,145
3281,145
6854,13
1992,67
4257,13
4253,20
2566,13
2080,120
6874,145
4402,13
6890,145
2993,120
6891,13
4332,145
6093,145
5422,13
3758,145
6916,13
6917,145
6918,145
6920,13
2263,13
5173,13
6929,13
6932,13
30,505
1703,120
6938,13
6943,13
5671,145
6955,13
6966,13
6971,145
6981,145
149,6982
3590,120
1822,13
3819,120
6992,145
5419,13
6998,13
6999,145
4511,13
7006,145
6597,13
1778,120
7014,145
7015,145
7016,145
2313,120
7031,145
3839,13
5985,13
7041,145
7045,13
5082,145
7059,13
928,13
779,67
7065,13
107,120
7072,145
7079,145
2886,20
414,120
4963,13
7088,13
154,7090
7091,145
742,13
6659,145
5196,13
7095,13
6964,145
7100,13
213,145
4072,13
1139,13
6110,13
5162,13
338,67
4122,13
4271,430
7110,145
3276,145
1612,13
5357,13
7121,13
4672,13
1381,67
7136,13
2169,430
3294,145
1491,67
48,67
2067,120
7150,13
2947,13
5851,13
159,951
5445,13
3481,120
7170,13
3657,120
489,13
4429,145
3128,13
7186,145
3596,430
2287,430
7119,145
6424,13
5726,13
7195,145
5812,13
1397,145
3087,120
4739,145
7201,145
2831,13
5704,13
2749,13
345,67
2873,145
3527,120
2360,13
3410,145
5832,145
1699,430
7252,145
4744,20
3619,145
2385,145
7258,13
3778,13
5586,145
5682,13
7267,145
7270,145
6411,145
7271,13
184,13
4220,13
1108,13
7279,145
7277,13
7280,145
6027,145
7298,13
7299,13
7301,13
283,951
3083,13
3318,430
2996,145
7316,145
2986,430
2811,13
7332,13
7334,13
7336,13
