p5_1,p5_2
4420,13
360,145
2540,67
3662,145
8290,13
6253,145
1889,67
3159,67
14023,13
8902,13
10529,13
5352,145
8455,13
9711,13
12558,145
12407,13
8434,145
5137,13
11465,13
11854,145
6366,13
7893,13
1438,67
11544,145
12961,145
4852,13
7029,13
798,20
204,67
5060,13
736,13
7055,13
10776,145
7917,13
7237,13
10423,13
11701,741
1880,20
7282,13
8403,13
12480,145
2383,13
10054,145
12718,145
2333,13
3881,145
11898,13
2670,13
11068,145
6967,145
318,120
14930,145
4812,13
4255,145
2465,67
1803,430
170,67
7389,13
1478,67
12431,145
2042,120
4956,13
151,6047
4419,145
7882,13
8557,430
2270,67
9088,145
2039,13
3846,13
2632,120
2273,67
10202,13
2410,145
7883,145
5526,13
4886,145
7360,145
772,67
4169,13
12231,13
10916,145
7268,13
4732,13
1413,120
9174,13
7145,145
3735,145
5322,13
209,17422
4049,13
11087,145
13487,145
4311,13
13050,145
13171,13
3320,13
3269,145
1425,430
5128,13
1673,13
11919,13
11510,145
5111,13
949,67
3923,20
5087,13
7322,13
662,67
2711,13
8525,13
11867,145
1423,67
298,67
13142,145
3091,13
130,13
3337,13
4407,13
9854,13
2394,13
627,67
2057,13
6304,13
5894,13
3490,13
241,67
4495,145
1537,67
9490,13
13240,13
2527,145
3568,13
9221,145
5092,20
1565,430
11945,13
1749,430
1874,13
6742,145
8953,20
7786,13
6588,145
9087,13
8101,145
16382,741
14426,145
5287,13
6018,145
7495,13
1192,120
2184,145
45,120
3605,13
3927,5385
9568,13
10097,13
2776,145
3135,145
7,145
4952,13
2411,120
4106,145
4655,13
4894,13
12764,145
1310,2937
5064,13
1960,67
118,67
9777,13
14386,13
7214,145
72,17598
3860,13
8944,13
5354,145
1972,13
2221,741
7863,145
10608,145
5795,430
11578,13
3824,145
9222,13
8292,13
12051,13
24,67
42,67
9013,13
947,145
1851,145
14682,13
13717,145
10310,20
6350,145
922,13
5741,13
10023,13
5961,145
191,67
3852,20
10713,13
2194,13
5074,13
4039,145
7805,145
10981,13
7193,13
8596,20
2818,67
12239,145
1371,2937
3228,20
9838,145
2690,120
584,780
1105,67
6165,13
46,951
9896,13
13036,145
6954,430
5573,13
10844,145
124,67
1942,13
2165,13
2508,13
1036,13
11695,13
4437,13
13787,13
991,120
2724,20
14848,145
3967,13
5949,145
5358,13
2210,67
4759,13
10081,145
2055,67
9405,13
7168,13
1327,120
343,67
5962,13
8155,13
7459,13
11299,13
11601,13
8265,741
1130,13
1308,67
1980,13
6271,13
1767,13
6563,13
7504,145
5149,13
307,430
8144,145
5583,13
1794,430
10233,13
3550,13
7719,13
9583,145
3361,145
6255,13
498,430
4227,20
2041,430
9104,13
3978,13
837,145
1603,13
5853,13
165,145
9229,145
7616,13
3857,145
366,13
2325,13
907,13
1697,13
1615,67
8840,13
109,14681
3544,13
4924,13
824,13
8681,13
1302,13
10654,13
13893,145
6605,13
2432,145
12932,13
4146,13
6143,13
8329,13
2718,13
1648,120
4242,145
6129,13
4213,13
4731,145
3306,13
2019,5385
2430,13
8388,145
7112,13
2327,67
4210,13
6333,13
11512,145
673,67
2189,120
10795,13
11394,13
7216,13
6730,13
384,67
11841,13
1526,120
3154,13
938,120
648,13
10,120
814,13
2043,13
14797,120
12395,145
5541,741
6957,145
4522,145
8972,145
5238,145
13457,145
2422,13
10082,145
1162,430
1241,430
12253,145
685,67
12018,13
558,17900
2457,13
1287,13
12487,13
8967,145
4099,145
1044,13
8158,13
2387,13
1224,67
1692,67
8835,145
9960,13
7541,13
1761,120
5713,430
8010,145
9048,13
2090,430
3643,13
8029,13
7243,13
3441,430
8216,13
3105,67
1559,430
3732,145
6675,430
5645,145
1639,430
9033,13
2163,13
5500,13
12062,145
10587,13
1168,145
7777,13
9659,13
8890,13
1938,430
2778,13
1520,13
3563,13
15608,145
2108,120
6791,13
8389,13
10133,13
15712,13
6355,13
5118,13
1368,67
16493,13
14015,13
1815,145
5791,145
2037,13
2301,13
13478,145
11669,145
5249,13
7707,13
801,20
5659,13
17782,2937
2518,67
5307,430
2160,430
770,67
11063,145
10541,13
758,430
14340,145
11209,145
2754,67
11296,145
3260,145
6703,145
12080,145
6833,145
448,67
4463,145
2860,13
477,430
4394,5385
5779,145
4114,67
3217,430
158,120
2995,120
3112,505
4058,145
88,505
3559,67
364,67
1967,13
2292,13
5845,145
5706,145
11194,13
9756,430
1318,67
2162,120
518,120
4133,13
5462,5385
8723,13
11433,13
